Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.004194546 0.1808719 -0.2359912 -0.244145 -0.110929 -0.4269635 -0.106448 -0.2830833 -0.2773174 -0.4655488 -0.09942123 -0.3362563 -0.3118416 -0.2197153 -0.2024056 -0.1527344 -0.4965621 0.04163682 -0.3581108 -0.1745151 -0.1161796 0.06792987 -0.2116012 0.4072783 0.02468028 0.3620763 -0.05955265 0.004691856 0.245847 0.1160575 0.5357736 0.1211555 0.4118527 0.1749216 0.4593374 0.2477374 0.4498659 0.06546008 0.2815924 0.1845011 -158.3166 1
-0.04084454 0.1588146 -0.2348063 -0.2109326 -0.08240512 -0.4172992 -0.08550806 -0.2660436 -0.26394 -0.4465499 -0.1262422 -0.3144325 -0.2748284 -0.2051915 -0.1704568 -0.1291305 -0.4706046 0.02270245 -0.2955402 -0.1638215 -0.118366 0.06815627 -0.2014747 0.3727745 0.05803908 0.3635632 -0.07470076 0.003639389 0.2389918 0.1263365 0.4924531 0.1127364 0.3869816 0.1660198 0.4333372 0.2205041 0.4076191 0.04465819 0.2599514 0.1700557 -156.3126 1
-0.006388666 0.1699036 -0.2308183 -0.1990989 -0.06630986 -0.3997097 -0.07985105 -0.2523023 -0.2490535 -0.4293869 -0.1369976 -0.3001252 -0.2449365 -0.1992542 -0.1545658 -0.1070116 -0.4450386 5.924212e-05 -0.2344567 -0.1336394 -0.1227277 0.06028053 -0.1897047 0.3371024 0.08209033 0.335986 -0.0871195 -0.001060629 0.2318535 0.1315968 0.4357471 0.1201725 0.3573553 0.1513717 0.4015934 0.1923164 0.3569669 0.03088169 0.2318034 0.1507628 -154.3086 1
0.06528307 0.1914086 -0.2230952 -0.1867124 -0.05471316 -0.370678 -0.08654549 -0.251449 -0.2305064 -0.4017656 -0.1291677 -0.2952562 -0.2181908 -0.1994569 -0.1458028 -0.0854798 -0.4165692 -0.01865328 -0.1973395 -0.09505012 -0.1283549 0.05175597 -0.1793668 0.3071766 0.0856951 0.3251345 -0.0967002 -0.008654018 0.2252008 0.1243769 0.3859793 0.1354165 0.3380221 0.1328163 0.3600835 0.1626713 0.3126476 0.02305625 0.1997097 0.1252781 -152.3046 1
0.05725401 0.1584902 -0.2119923 -0.1574201 -0.0431228 -0.3228741 -0.08660404 -0.2481372 -0.2023279 -0.3538647 -0.1117742 -0.281942 -0.1813091 -0.194489 -0.1365727 -0.07209286 -0.3889132 -0.03529219 -0.1751339 -0.05649253 -0.1355616 0.04083335 -0.1666773 0.2928497 0.08964712 0.3066931 -0.1040059 -0.01017736 0.2286183 0.1100023 0.3558662 0.1526695 0.3343912 0.120506 0.3226017 0.1351142 0.2831379 0.005809891 0.168317 0.09096369 -150.3006 1
0.08113592 0.1326856 -0.184017 -0.1345954 -0.03429703 -0.2722928 -0.09412224 -0.2281117 -0.1620696 -0.3005445 -0.09867679 -0.2488628 -0.1411731 -0.1956508 -0.1315245 -0.06716036 -0.3612892 -0.0385121 -0.1537638 -0.02665791 -0.1451808 0.02984681 -0.1508094 0.2870947 0.09865225 0.2987477 -0.111383 -0.01457605 0.2200747 0.09310278 0.3219874 0.1559166 0.3221347 0.1058301 0.2912244 0.1084529 0.2438724 -0.01488877 0.1418968 0.05271764 -148.2966 1
0.003191284 0.06618379 -0.1328349 -0.1215195 -0.02239061 -0.216857 -0.1007907 -0.2009799 -0.1244776 -0.2429615 -0.0951518 -0.1946207 -0.1188405 -0.1947145 -0.1237642 -0.06408625 -0.331345 -0.04207031 -0.1323928 -0.0147281 -0.1535362 0.01870948 -0.1317587 0.286926 0.1221392 0.2809464 -0.1153546 -0.009263128 0.2112361 0.08546887 0.2983829 0.1617967 0.3327922 0.1090749 0.2557698 0.09211723 0.2224738 -0.02187824 0.1209319 0.02991817 -146.2926 1
0.03323567 0.06723844 -0.0770216 -0.1191856 -0.02383106 -0.1710212 -0.11819 -0.1765222 -0.09605978 -0.2000565 -0.09633125 -0.1410234 -0.1244272 -0.1965726 -0.1275847 -0.06767482 -0.3100103 -0.03844147 -0.1070799 -0.02496305 -0.1633863 0.002242376 -0.1185424 0.272856 0.143759 0.241882 -0.1176328 -0.01235216 0.1818647 0.08611184 0.2576653 0.1751784 0.3347667 0.1109542 0.2132388 0.09135583 0.1926901 -0.004858461 0.1038386 0.01829592 -144.2886 1
-0.03664212 0.06686091 -0.02641224 -0.09811892 -0.02910618 -0.128471 -0.1223246 -0.1555266 -0.06362861 -0.1584226 -0.07415931 -0.07683735 -0.1436093 -0.2018016 -0.1316063 -0.07685263 -0.2975228 -0.03992609 -0.06528834 -0.04571686 -0.1756956 -0.02129287 -0.1084278 0.2494031 0.1627387 0.194657 -0.1167789 -0.01146537 0.1553561 0.09911454 0.2078134 0.2107518 0.3226639 0.1255747 0.1736726 0.1103447 0.1584822 0.02683111 0.09035594 0.0192551 -142.2846 1
-0.04116381 0.1240403 0.007451722 -0.09138168 -0.03690976 -0.1075491 -0.1378952 -0.1178445 -0.02854752 -0.1279319 -0.04205809 -0.01020407 -0.1780594 -0.2086309 -0.1433219 -0.0911252 -0.2840962 -0.04179822 -0.002943094 -0.07172251 -0.1935216 -0.0481905 -0.1020042 0.215663 0.1814173 0.1599717 -0.1147847 -0.0194461 0.1219332 0.1120801 0.1612805 0.2404731 0.3065796 0.1272347 0.1168579 0.1256145 0.1276568 0.06149265 0.05851988 0.02517526 -140.2806 1
-0.09437626 0.1518893 0.03665414 -0.1031679 -0.0390391 -0.104229 -0.152106 -0.08034952 0.007983042 -0.0947383 -0.01564321 0.05813863 -0.2212636 -0.2156556 -0.1537528 -0.1049442 -0.2606986 -0.04616262 0.07566658 -0.09397332 -0.2076285 -0.07062165 -0.1019095 0.1865789 0.1999983 0.1298187 -0.1185363 -0.02937406 0.09491669 0.1211489 0.1247958 0.2697029 0.3024789 0.1226015 0.08370718 0.1334561 0.1069953 0.08642053 0.04157576 0.03029712 -138.2766 1
-0.1802429 0.1355141 0.06383718 -0.1391148 -0.03743694 -0.1144329 -0.1627562 -0.05417075 0.0399001 -0.06151642 0.002199186 0.1015415 -0.262063 -0.2099918 -0.1596341 -0.1155501 -0.225103 -0.04799054 0.1481275 -0.111832 -0.2125007 -0.07980959 -0.1081012 0.1564872 0.2081867 0.1228793 -0.1260928 -0.03831869 0.07543237 0.121246 0.1041721 0.2970291 0.3116097 0.1111978 0.06816148 0.1272518 0.1026849 0.1022935 0.04174484 0.03507144 -136.2726 1
