Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.1145181 0.07153612 -0.06521173 -0.08445372 0.02389232 -0.1581301 -0.0822983 -0.09679553 -0.2514997 -0.15782 -0.1405823 -0.1007083 -0.1528114 -0.06837673 0.006730674 0.03115461 -0.2076504 0.09510504 -0.0410958 -0.1147992 -0.07409231 0.07290141 -0.1192629 0.2616131 0.05680588 0.2522179 -0.05867843 -0.03718163 0.05989648 0.0662443 0.3483066 -0.0882307 0.2040702 0.00122764 0.1662119 0.04383249 0.2243619 -0.1138739 0.05339823 -0.003733724 -158.3166 1
0.05783877 0.0553721 -0.08032577 -0.07734517 0.04139435 -0.1419268 -0.06925583 -0.1051155 -0.2449748 -0.1523227 -0.1641257 -0.1002526 -0.1409396 -0.05469362 0.02768334 0.04241907 -0.1892629 0.08529252 -0.01954827 -0.1091487 -0.06494551 0.07906307 -0.1159126 0.2398408 0.07990882 0.2439078 -0.05352645 -0.02701616 0.06852273 0.07334642 0.3183488 -0.08916075 0.1932809 0.006659969 0.1735286 0.03511168 0.1978282 -0.1185835 0.05548286 -0.005007603 -156.3126 1
0.07797977 0.07094554 -0.07890247 -0.0893556 0.04892668 -0.1207456 -0.05898575 -0.09506802 -0.2415719 -0.1529246 -0.1625424 -0.1049991 -0.1432879 -0.04868101 0.03628658 0.05055551 -0.1749736 0.07690889 -0.004232269 -0.09803862 -0.06314193 0.07799184 -0.1097166 0.2143754 0.08831207 0.223274 -0.04962668 -0.02330232 0.07524122 0.07460831 0.278138 -0.08285132 0.1849668 0.001672706 0.1758669 0.02163379 0.1672754 -0.1245612 0.05261663 -0.01370047 -154.3086 1
0.1452786 0.1040745 -0.05954809 -0.09937298 0.05437275 -0.09489188 -0.04417614 -0.07698637 -0.2386651 -0.1518211 -0.141819 -0.1087104 -0.1508742 -0.04878026 0.04009356 0.05778559 -0.1604952 0.07532601 -0.005241105 -0.08960737 -0.06497439 0.07393076 -0.1016617 0.1923268 0.07731123 0.2037009 -0.04562904 -0.02362084 0.07354326 0.0665117 0.2417108 -0.08143181 0.1796973 -0.01037809 0.1598246 0.001192741 0.1384223 -0.1312235 0.0390721 -0.03079992 -152.3046 1
0.1344075 0.09573368 -0.03132804 -0.0935366 0.05934736 -0.05994622 -0.01468847 -0.0602158 -0.2379527 -0.1355795 -0.1163737 -0.1001221 -0.1542193 -0.04316861 0.04495782 0.06089336 -0.1487371 0.07210003 -0.01106389 -0.09357405 -0.06827882 0.06526455 -0.08845575 0.1809589 0.0688767 0.1928818 -0.04366589 -0.0177672 0.07768097 0.06259593 0.219458 -0.07452586 0.1808873 -0.01656237 0.1439111 -0.01257973 0.116984 -0.1472502 0.02355278 -0.05879304 -150.3006 1
0.1675911 0.1019811 0.001766983 -0.09162004 0.05780431 -0.02983301 0.0002296869 -0.03949065 -0.2360211 -0.111898 -0.09745269 -0.07517831 -0.1561795 -0.04483628 0.04527883 0.06028075 -0.1380566 0.07359219 -0.009355132 -0.1138951 -0.07146592 0.05364238 -0.0730115 0.1734618 0.0726109 0.180541 -0.0432677 -0.01400256 0.07157585 0.06234375 0.1884575 -0.06852312 0.1681197 -0.02377763 0.133312 -0.02324429 0.08563178 -0.1618769 0.01590714 -0.0889165 -148.2966 1
0.103747 0.0672458 0.03885188 -0.09521561 0.05667619 0.002379208 0.004064818 -0.02624783 -0.2352244 -0.07909492 -0.08731624 -0.0396807 -0.1690243 -0.04548427 0.0499866 0.05965631 -0.1255975 0.06707197 -0.001556987 -0.1424406 -0.07168911 0.04307134 -0.05729625 0.1714981 0.09551438 0.1649795 -0.04204823 -0.002494905 0.07280285 0.07170807 0.1713661 -0.05379636 0.1725415 -0.01415134 0.1187023 -0.02922956 0.07668816 -0.1641985 0.01367824 -0.1061794 -146.2926 1
0.1525727 0.09442642 0.06862482 -0.1060707 0.04760995 0.02419417 -0.01332372 -0.01487554 -0.236527 -0.05794008 -0.08408462 -0.01555924 -0.1984152 -0.04577098 0.0449471 0.05567932 -0.1187904 0.06460141 0.008493866 -0.1698001 -0.07350814 0.03176815 -0.04960883 0.1619624 0.1202548 0.1360443 -0.03904296 -0.0009189509 0.06096067 0.08011916 0.1482376 -0.04031847 0.1675532 -0.008176634 0.09922421 -0.03639261 0.06294862 -0.1505875 0.01532448 -0.1154132 -144.2886 1
0.1075998 0.09429216 0.08773176 -0.09347909 0.038966 0.03813907 -0.02373003 -0.01073819 -0.2309728 -0.04034355 -0.06452817 0.005686189 -0.2226029 -0.04905384 0.03665841 0.04877243 -0.1192914 0.05873001 0.02323593 -0.1788632 -0.08063684 0.01903867 -0.04834693 0.1541519 0.1366695 0.1104964 -0.03225195 0.002118647 0.05840026 0.09099809 0.1335109 -0.0165464 0.16404 0.008087426 0.08811351 -0.03782614 0.05357449 -0.1296454 0.02368391 -0.1090978 -142.2846 1
0.1234246 0.1262023 0.09210771 -0.08376522 0.03168875 0.03517288 -0.04322802 0.004763922 -0.2217794 -0.03852056 -0.03773726 0.02461276 -0.2435565 -0.05341209 0.02136174 0.0418161 -0.1246287 0.05670782 0.03777159 -0.1742827 -0.09308022 0.0054572 -0.05769847 0.140928 0.1376925 0.08905536 -0.02250369 -0.004314783 0.05161018 0.09347019 0.1317597 -0.002564789 0.1634303 0.01433029 0.06425988 -0.04374741 0.0516637 -0.1046635 0.01716669 -0.09443716 -140.2806 1
