CP5 CP6 TP7 TP8 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
-0.2144294 0.2358945 -1.684073 -0.7813756 -2.433471 -0.7023026 -5.484782 -3.885089 -1.663118 -1.358892 -3.403867 -2.439915 -3.05958 -2.426962 -2.173408 -74.1483
-0.4587036 0.371246 -1.85797 -0.7457179 -2.430458 -0.5940773 -5.381483 -3.88175 -1.515784 -1.257744 -3.270965 -2.307145 -2.824201 -2.209752 -1.847952 -72.14429
-0.6480966 0.4840568 -2.116058 -0.7064754 -2.391106 -0.5795568 -5.253683 -3.919227 -1.258928 -1.127901 -3.081503 -2.216351 -2.479241 -1.867515 -1.284254 -70.14028
-0.7840863 0.5263441 -2.410653 -0.7603962 -2.329467 -0.6616301 -5.133275 -4.035566 -0.927989 -1.006386 -2.866088 -2.197288 -2.042308 -1.507293 -0.5869099 -68.13628
-0.891812 0.5436825 -2.74182 -0.810171 -2.291564 -0.6919972 -5.080496 -4.045928 -0.6147162 -0.9387203 -2.702847 -2.101558 -1.599926 -1.206541 0.1004123 -66.13226
-0.9873666 0.5153385 -3.056793 -0.7842727 -2.30557 -0.7543728 -5.127802 -4.062541 -0.3799336 -0.8737364 -2.604399 -2.046935 -1.245094 -0.9494559 0.6019899 -64.12826
-1.011231 0.4058031 -3.262638 -0.7869076 -2.367023 -0.8386834 -5.23641 -4.139775 -0.1933945 -0.7999255 -2.55222 -2.021352 -1.040075 -0.8077656 0.8229603 -62.12425
-0.9089376 0.2400797 -3.286942 -0.8018024 -2.404087 -1.003886 -5.313667 -4.280163 0.01598558 -0.7356748 -2.460131 -2.061515 -0.8819435 -0.7104955 0.9426562 -60.12024
-0.7032496 0.03677743 -3.163275 -0.8154858 -2.422357 -1.232169 -5.296815 -4.352041 0.2814239 -0.6403706 -2.345465 -2.120479 -0.7565435 -0.5711524 1.059133 -58.11623
-0.497605 -0.1789512 -2.997342 -0.9774049 -2.446241 -1.502366 -5.180935 -4.344324 0.5393575 -0.5045732 -2.215396 -2.190683 -0.6238113 -0.3429487 1.22186 -56.11222
-0.3538325 -0.3775685 -2.826483 -1.025408 -2.438828 -1.743299 -4.924429 -4.261418 0.804229 -0.3205349 -2.041315 -2.212473 -0.5067502 -0.06005057 1.439525 -54.10822
