PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
16.54286 -0.7842317 11.6964 10.86882 -10.03272 2.524409 -16.58708 -6.358725 -24.8361 -1.885152 124.2485 124.2485 124.2485 124.2485 114.2285 124.2485 108.2164 118.2365 108.2164 118.9045 1 1 157
-7.567662 4.750185 2.750808 -2.284408 -12.41365 -3.530699 -4.688883 -11.1763 8.718511 -2.8269 108.2164 112.2244 108.2164 108.2164 108.2164 124.2485 108.2164 108.2164 118.2365 111.5564 1 1 165
8.88818 3.921705 7.112896 7.055479 3.27856 -1.176589 -2.87873 22.51224 23.03477 7.972057 108.2164 112.2244 108.2164 108.2164 124.2485 108.2164 124.2485 124.2485 124.2485 115.7871 1 1 167
-9.767347 -16.24809 -22.69819 -4.750254 9.458379 5.621257 18.53252 6.303685 5.240035 -0.9231123 124.2485 124.2485 124.2485 124.2485 112.2244 124.2485 108.2164 108.2164 108.2164 117.5685 1 1 168
-27.30704 -10.17298 -27.62596 -23.49938 4.135238 -12.90721 -8.113953 7.297163 12.86459 -9.48106 108.2164 124.2485 108.2164 108.2164 124.2485 124.2485 108.2164 124.2485 124.2485 117.1231 1 1 170
-0.04992284 16.07352 8.659831 13.37038 -1.941872 13.21973 -3.70289 -7.878122 -1.556282 4.021598 124.2485 122.2445 124.2485 124.2485 112.2244 120.2405 108.2164 112.2244 124.2485 119.1271 1 1 173
15.94728 2.891766 9.666978 22.35501 11.44646 20.06679 4.109346 7.084862 -4.513475 9.895001 110.2204 124.2485 114.2285 112.2244 124.2485 124.2485 110.2204 124.2485 124.2485 118.6818 1 1 182
-22.13706 4.091749 -19.93508 -14.16273 -0.6448872 6.114746 -16.67306 -0.7251766 -6.664237 -7.859525 114.2285 108.2164 108.2164 110.2204 118.2365 114.2285 124.2485 112.2244 116.2325 114.0058 1 1 184
13.25977 -2.421467 12.19882 8.062552 -6.285658 15.23632 -6.209766 -8.781223 -13.84947 1.245542 116.2325 108.2164 124.2485 124.2485 118.2365 108.2164 124.2485 108.2164 120.2405 116.9005 1 1 188
-18.9418 16.27269 -4.481164 -2.89853 5.720447 1.42128 -9.707948 5.815999 6.997844 0.0220907 108.2164 108.2164 124.2485 124.2485 116.2325 124.2485 124.2485 108.2164 122.2445 117.7911 1 1 193
-9.762916 7.746111 0.5003872 -3.240849 15.87458 -0.1521613 1.808174 15.14598 10.3921 4.256824 116.2325 108.2164 108.2164 108.2164 110.2204 108.2164 124.2485 108.2164 124.2485 112.8924 1 1 198
28.62405 -8.764256 11.97436 12.77224 -5.165039 9.25893 0.7172852 -12.40217 -16.41069 2.289412 122.2445 116.2325 112.2244 118.2365 124.2485 110.2204 108.2164 108.2164 124.2485 116.0098 1 1 200
-4.921541 -1.363015 -12.79422 -5.733735 -4.446365 -11.32624 -13.64425 6.187261 -12.11011 -6.68358 108.2164 124.2485 108.2164 108.2164 124.2485 124.2485 110.2204 124.2485 112.2244 116.0098 1 1 203
7.131948 10.74753 -1.456975 2.242557 4.482098 1.014017 8.082868 16.66467 20.87721 7.753991 118.2365 108.2164 108.2164 110.2204 112.2244 116.2325 124.2485 114.2285 120.2405 114.6738 1 1 207
8.308515 1.001737 6.305761 19.355 18.51695 24.83543 5.306163 16.64557 -16.59763 9.297497 120.2405 108.2164 110.2204 112.2244 114.2285 108.2164 124.2485 108.2164 124.2485 114.4511 2 1 1
12.08342 5.7577 0.3652421 6.055998 13.59785 13.70474 22.12048 6.201486 5.174503 9.451267 116.2325 108.2164 122.2445 122.2445 112.2244 108.2164 124.2485 114.2285 114.2285 115.7871 2 1 7
30.20447 -6.254868 6.230345 7.464314 2.888029 22.64466 19.34087 1.432681 -8.691054 8.362159 116.2325 108.2164 114.2285 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 109.7751 2 1 9
8.586236 -1.964984 4.419102 -3.109724 36.18298 19.85027 18.22192 9.358127 8.790081 11.14822 118.2365 108.2164 108.2164 108.2164 110.2204 120.2405 124.2485 118.2365 124.2485 115.5645 2 1 15
-5.082727 8.093998 -13.79861 13.38083 32.18069 30.61741 18.65 26.71041 10.21155 13.4404 112.2244 124.2485 124.2485 124.2485 114.2285 124.2485 112.2244 108.2164 112.2244 117.3458 2 1 17
