Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
-0.4336883 1.420171 -0.2154478 -0.7950312 -1.554979 -2.027528 -1.610706 -1.353439 -3.439604 -2.139293 -2.867111 -1.267315 -2.583639 -2.114986 -1.564072 -3.446183 -1.428608 -1.925217 -0.6027593 -1.8534 -0.7790385 -0.6022334 -0.4285869 2.375322 1.642257 2.495383 -1.20724 -0.5122015 1.495992 2.129877 2.987545 3.959625 3.701919 0.003762567 1.387854 2.104193 2.547208 0.1497346 0.4831985 -1.226212 -156.3126
-0.5201495 1.485451 -0.2934463 -0.7312801 -1.352886 -1.778974 -1.536777 -1.305007 -3.157904 -2.097052 -2.748066 -1.357924 -2.435889 -1.984627 -1.328515 -3.189585 -1.435977 -1.904145 -0.5343018 -1.603203 -0.7938765 -0.6314652 -0.3165952 2.375465 1.787159 2.461524 -1.254214 -0.5791691 1.463732 2.081661 2.768892 3.783988 3.56518 -0.2259022 1.240838 1.806572 2.349652 -0.0402964 0.2496423 -1.428555 -154.3086
-0.3019828 1.646508 -0.4228736 -0.6447356 -1.21915 -1.547594 -1.532381 -1.392578 -2.807447 -2.039294 -2.390787 -1.483149 -2.141698 -1.96053 -1.121672 -2.976211 -1.472255 -1.87785 -0.5221307 -1.260303 -0.8459564 -0.6860359 -0.2170886 2.378568 1.890196 2.533465 -1.297095 -0.665363 1.373331 1.997492 2.547889 3.63522 3.502777 -0.4431555 1.019063 1.512846 2.115278 -0.1422806 0.004014072 -1.604651 -152.3046
-0.6513227 1.398784 -0.5676649 -0.5196757 -1.082381 -1.295243 -1.492057 -1.592481 -2.487898 -1.931978 -1.918207 -1.638776 -1.711683 -1.909561 -0.9030595 -2.791121 -1.503187 -1.857329 -0.4607938 -0.8709368 -0.9225958 -0.7421591 -0.08410919 2.41401 2.12921 2.512165 -1.358361 -0.7118966 1.300062 1.945344 2.394215 3.548884 3.599213 -0.5955762 0.8076245 1.277315 1.942965 -0.230814 -0.1914068 -1.733102 -150.3006
-0.8679779 1.149359 -0.5942873 -0.4939224 -0.9587613 -1.13463 -1.497887 -1.790797 -2.211148 -1.779185 -1.521949 -1.707742 -1.35693 -1.898466 -0.7334641 -2.62591 -1.519897 -1.798635 -0.2348695 -0.4891592 -1.02217 -0.7884073 0.09883464 2.449859 2.504057 2.620083 -1.446119 -0.7540638 1.131626 1.958357 2.207306 3.456864 3.66904 -0.7556241 0.5392144 1.10886 1.734625 -0.3110947 -0.3753904 -1.835282 -148.2966
-1.260128 0.8999627 -0.4169813 -0.5393621 -0.8037006 -1.009508 -1.429666 -1.925597 -1.966612 -1.556437 -1.289884 -1.572595 -1.247301 -1.83007 -0.579856 -2.409453 -1.495112 -1.729517 0.1029607 -0.1899334 -1.116963 -0.8449765 0.319312 2.440976 2.944715 2.587382 -1.532773 -0.7517503 0.9179292 2.002631 1.956941 3.373759 3.588514 -0.8448338 0.2309669 0.9880735 1.478307 -0.3898299 -0.5840465 -1.903586 -146.2926
-1.229368 0.9184786 -0.193067 -0.6400997 -0.668354 -0.9007806 -1.311585 -2.032833 -1.745121 -1.335323 -1.155579 -1.285098 -1.385896 -1.779001 -0.4741911 -2.186975 -1.478684 -1.6437 0.4799066 0.006142639 -1.23837 -0.9313296 0.5198779 2.363498 3.31332 2.539557 -1.618147 -0.7878942 0.6339436 2.055177 1.644402 3.283304 3.318177 -0.9270748 -0.1041355 0.9014689 1.187648 -0.4431517 -0.8114403 -1.95799 -144.2886
-1.629507 0.93332 -0.01282918 -0.6459583 -0.5609924 -0.7241427 -1.09599 -2.003506 -1.477899 -1.096549 -0.9272238 -0.8693235 -1.557053 -1.788823 -0.3627604 -1.995455 -1.491616 -1.549559 0.8254158 0.1198221 -1.392744 -1.049452 0.6702752 2.28703 3.584363 2.370498 -1.659549 -0.8334065 0.4222035 2.098801 1.317914 3.153036 2.977778 -0.9661265 -0.3959212 0.7949215 0.9272498 -0.4772968 -0.966439 -1.953715 -142.2846
-1.958592 1.052359 0.06849716 -0.6837304 -0.4713119 -0.5514418 -0.9423355 -1.75551 -1.192113 -0.9205887 -0.695145 -0.3915394 -1.674836 -1.756005 -0.2255032 -1.81834 -1.460289 -1.432439 1.094814 0.08825128 -1.554898 -1.145988 0.7317229 2.236087 3.719398 2.24934 -1.720175 -0.9470676 0.2549199 2.108088 1.102867 2.847446 2.782654 -1.093485 -0.7155507 0.6048735 0.7865907 -0.5373951 -1.129972 -1.928499 -140.2806
-2.243376 1.17578 0.2260011 -0.6611977 -0.4060425 -0.4844646 -0.8196927 -1.374562 -0.8454983 -0.7876887 -0.5539405 0.119146 -1.769479 -1.731373 -0.1221011 -1.681421 -1.404136 -1.331222 1.351177 0.01368733 -1.723046 -1.240973 0.6971303 2.209105 3.720216 2.150011 -1.798758 -1.095784 0.147797 1.999714 1.018727 2.384716 2.840707 -1.298053 -0.9415707 0.3349548 0.7805005 -0.6924443 -1.244757 -1.936857 -138.2766
