PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
22.70812 13.82878 19.14066 29.58855 18.60756 33.06445 35.19423 6.935519 -0.6465827 19.82459 2 1 79
-19.82985 -27.92067 -32.97031 -29.94524 10.54886 -13.74092 5.933067 14.36928 11.19367 -9.151347 2 1 81
34.08217 -4.415252 -7.256266 11.64598 32.07694 32.00787 46.60923 34.6421 15.12472 21.61305 2 1 82
11.24668 -9.894966 4.292964 16.56532 -1.861958 19.7232 16.12993 -6.647788 4.930562 6.053772 2 1 89
-3.093542 21.34695 4.788915 6.511102 -8.089933 -6.361442 -11.99242 -8.53931 -1.882297 -0.812442 2 1 91
20.58011 -8.774399 7.576113 -5.295542 11.37685 2.024518 21.01171 0.07689979 -13.98138 3.843875 2 1 95
8.590293 -3.202642 16.14245 -0.1870486 3.810061 -10.63967 34.34832 4.890495 10.85039 7.178072 2 1 97
-22.52215 -3.170068 -20.6905 -13.35106 -2.625319 -19.713 2.168181 3.067782 4.690913 -8.016136 2 1 100
8.572335 1.67447 3.282639 24.01259 10.75801 30.35294 21.5043 8.141035 0.005910988 12.0338 2 1 103
26.44092 -21.05618 -11.13409 6.567799 6.531801 8.42417 31.71202 2.846422 14.70126 7.226013 2 1 108
9.141021 -6.378069 22.36205 15.34142 3.454582 -0.8363285 23.87552 -1.857191 27.40993 10.27922 2 1 110
6.603018 -16.95694 -2.416248 -3.360493 -17.366 -20.80907 9.396392 -14.25695 -1.174828 -6.704568 2 1 115
-15.2082 5.273956 -12.01362 -9.435659 4.984353 2.472139 -8.140694 12.26272 -0.9796938 -2.309412 2 1 116
60.14916 6.260477 34.20619 39.12399 24.81395 28.68787 56.20439 11.90429 12.18546 30.39286 2 1 124
16.28512 -3.271765 -1.578285 0.3433041 13.91498 6.449378 15.446 5.328182 14.30394 7.468985 2 1 127
-9.708975 -4.776215 2.878516 -4.512131 6.331593 14.25086 4.341784 5.727596 9.099881 2.625878 2 1 129
-13.19755 -10.84712 -13.52632 -13.9439 -11.70832 -27.53242 -11.18785 -0.4952015 13.517 -9.880187 2 1 131
55.59407 6.045461 38.33817 39.37841 7.661333 18.22421 29.77367 12.54471 21.32104 25.43123 2 1 136
18.10402 9.006854 7.796219 15.97789 -7.087707 24.17056 -14.31254 -3.69047 -32.41022 1.950511 2 1 143
-5.718077 -0.1323257 -11.95651 -5.847761 -4.799172 7.691595 -3.146931 1.343955 -3.413527 -2.886528 2 1 144
-23.38732 4.765004 -3.831608 -7.598851 -12.53411 1.609695 -9.102393 -4.675235 9.445782 -5.034338 2 1 148
25.57313 5.358514 17.15557 31.16863 20.5485 29.43703 2.857417 16.03427 5.837057 17.10779 2 1 152
7.902551 -3.610661 -1.964031 -5.247407 10.4727 0.8613868 26.57686 16.48811 21.34455 8.091561 2 1 154
8.751873 -12.36672 -3.111943 -7.381916 -13.34673 -26.31589 15.02359 -10.95094 5.847715 -4.872329 2 1 159
16.69169 1.165273 -0.9800313 2.641583 -3.315566 6.840314 2.509777 6.787383 -5.884167 2.939584 2 1 161
6.516336 -20.31293 -6.996889 -15.01259 8.168851 -9.095369 7.851292 3.443231 6.226639 -2.134602 2 1 164
7.331373 -11.63922 -15.07419 -6.466797 33.31408 13.66504 30.52623 41.93071 28.44182 13.55878 2 1 171
10.52334 11.12864 3.826301 17.81551 8.71976 20.51949 6.885107 16.17065 -12.11839 9.274489 2 1 174
21.85823 0.8691942 9.557243 -1.059316 17.56831 14.10042 21.89682 17.86237 20.30455 13.66198 2 1 176
11.04619 -5.117435 3.525844 6.02737 4.264826 4.604401 15.1178 -3.926507 -9.134649 2.934205 2 1 180
-0.2850239 20.64035 7.484387 11.95448 14.00301 34.12714 1.910297 14.94601 -8.931008 10.64996 2 1 183
29.11634 8.655189 3.985376 7.242569 13.9592 26.07873 33.61541 9.951168 19.88956 16.94373 2 1 187
23.06333 -12.39081 4.291608 6.764542 16.69787 9.510231 17.14136 12.35186 10.0552 9.720577 2 1 189
14.65209 -5.269763 -4.55276 2.131394 22.50653 23.92297 40.83129 22.13204 10.12656 14.05337 2 1 191
14.60665 -0.9998567 1.859568 18.6699 19.93305 21.55486 11.30717 27.72919 7.731851 13.59915 2 1 192
-16.17335 21.23906 1.972881 6.820245 3.78885 20.50323 -26.73857 -0.105566 -4.740001 0.7296422 2 1 196
-0.5162044 1.55569 -2.852233 -13.37569 12.25563 4.743776 21.5174 10.34539 -1.063588 3.623353 2 1 197
-4.973979 -7.89444 2.56788 -3.949738 0.3151253 -6.980875 -0.5924466 -1.403338 -7.460378 -3.374688 2 1 201
-14.45559 3.015494 -5.294662 -0.8227749 2.999935 -12.44842 -2.122783 11.06647 -1.370947 -2.159254 3 1 2
35.22115 -7.471189 19.86962 26.52691 11.14098 5.268085 36.35277 -9.874558 0.5018423 13.05951 3 1 5
25.25209 -9.084548 0.7733513 -13.6008 5.938768 -0.9952611 46.51354 14.23399 22.56209 10.17702 3 1 8
23.23569 -4.681134 9.977699 17.31881 35.931 26.26823 35.52674 10.23363 -1.215743 16.95499 3 1 10
