P7_amp TP7_amp CP5_amp ROI_GA_amp P7_lat TP7_lat CP5_lat ROI_GA_lat emotion ID Trial hem
-5.234356 -4.440588 -10.70479 -6.793245 202.4048 202.4048 202.4048 202.4048 2 1 159 1
-6.77435 -6.83908 -20.04988 -11.2211 202.4048 202.4048 218.4369 207.7488 2 1 161 1
-17.16593 -17.30582 3.79116 -10.22686 210.4208 210.4208 208.4168 209.7528 2 1 164 1
-17.68341 -18.51583 -27.03327 -21.0775 202.4048 202.4048 218.4369 207.7488 2 1 171 1
-8.762092 -9.92656 4.883686 -4.601655 206.4128 206.4128 206.4128 206.4128 2 1 174 1
-0.8822824 0.05896525 4.878711 1.351798 216.4329 216.4329 202.4048 211.7569 2 1 176 1
-2.518283 -2.808442 -21.71376 -9.013494 202.4048 202.4048 202.4048 202.4048 2 1 180 1
15.32717 16.58126 -2.032632 9.9586 218.4369 218.4369 218.4369 218.4369 2 1 183 1
5.009249 4.965237 10.1474 6.707294 202.4048 202.4048 218.4369 207.7488 2 1 187 1
-10.87041 -9.234843 -10.60347 -10.23624 204.4088 202.4048 202.4048 203.0728 2 1 189 1
-3.855509 -3.980703 -3.268208 -3.701473 202.4048 202.4048 202.4048 202.4048 2 1 191 1
16.79263 15.90896 22.73563 18.47907 216.4329 218.4369 218.4369 217.7689 2 1 192 1
20.73243 20.84591 19.74149 20.43994 218.4369 218.4369 218.4369 218.4369 2 1 196 1
6.385255 7.386616 13.57384 9.115235 218.4369 218.4369 204.4088 213.7608 2 1 197 1
-2.720783 -2.006473 -7.655561 -4.127606 202.4048 202.4048 202.4048 202.4048 2 1 201 1
10.62555 10.26263 15.45363 12.11394 202.4048 204.4088 202.4048 203.0728 3 1 2 1
3.114082 3.085274 -18.26051 -4.020386 208.4168 208.4168 218.4369 211.7569 3 1 5 1
0.1872698 0.3185341 -0.9749649 -0.156387 202.4048 202.4048 218.4369 207.7488 3 1 8 1
-3.913853 -4.227589 6.80683 -0.4448705 208.4168 202.4048 218.4369 209.7528 3 1 10 1
13.51692 13.78864 -2.975334 8.110077 202.4048 202.4048 202.4048 202.4048 3 1 12 1
-13.83609 -13.68959 -7.408157 -11.64461 218.4369 218.4369 202.4048 213.0928 3 1 21 1
-2.138116 -2.682785 -12.05334 -5.624748 218.4369 218.4369 202.4048 213.0928 3 1 25 1
-2.16995 -2.458688 -1.914107 -2.180915 202.4048 202.4048 202.4048 202.4048 3 1 28 1
-1.606886 -2.086535 3.635495 -0.01930849 218.4369 218.4369 218.4369 218.4369 3 1 29 1
-5.149118 -4.254457 -17.06815 -8.823909 202.4048 202.4048 206.4128 203.7408 3 1 34 1
11.57144 12.72505 5.983225 10.09324 218.4369 218.4369 218.4369 218.4369 3 1 38 1
10.42248 10.5495 20.1272 13.69973 202.4048 202.4048 218.4369 207.7488 3 1 39 1
8.774364 8.710295 -12.03099 1.817888 214.4289 212.4249 212.4249 213.0928 3 1 41 1
-3.677712 -2.961146 -19.60634 -8.748401 202.4048 202.4048 218.4369 207.7488 3 1 43 1
-29.79542 -30.10469 -5.45207 -21.78406 212.4249 212.4249 202.4048 209.0848 3 1 51 1
5.984411 7.081993 -0.5653108 4.167031 202.4048 202.4048 202.4048 202.4048 3 1 55 1
-7.203181 -7.190595 -22.03106 -12.14161 212.4249 212.4249 212.4249 212.4249 3 1 57 1
13.69996 12.90988 30.64808 19.08598 202.4048 202.4048 218.4369 207.7488 3 1 60 1
4.554097 5.352985 15.21314 8.373408 218.4369 218.4369 218.4369 218.4369 3 1 64 1
3.574873 3.279379 21.61507 9.489773 214.4289 214.4289 218.4369 215.7649 3 1 67 1
3.898218 3.448215 15.3452 7.563879 202.4048 202.4048 202.4048 202.4048 3 1 70 1
-2.201642 -2.735433 -9.897857 -4.944977 206.4128 208.4168 212.4249 209.0848 3 1 75 1
3.446422 2.723299 -7.437029 -0.4224362 218.4369 218.4369 218.4369 218.4369 3 1 77 1
1.063634 2.0967 8.625615 3.92865 202.4048 202.4048 218.4369 207.7488 3 1 86 1
7.302372 6.315685 8.259853 7.292637 202.4048 202.4048 218.4369 207.7488 3 1 90 1
-6.126574 -7.272947 12.46444 -0.3116926 218.4369 218.4369 218.4369 218.4369 3 1 93 1
-11.80108 -12.26081 6.816913 -5.748329 202.4048 202.4048 218.4369 207.7488 3 1 98 1
12.69591 14.26266 15.84007 14.26621 202.4048 202.4048 212.4249 205.7448 3 1 102 1
1.470314 1.580908 -36.23487 -11.06122 218.4369 218.4369 216.4329 217.7689 3 1 104 1
9.124105 9.614109 -16.89316 0.6150176 218.4369 218.4369 218.4369 218.4369 3 1 109 1
0.6920326 0.5553272 -5.613181 -1.455274 208.4168 206.4128 218.4369 211.0889 3 1 111 1
-10.44901 -11.14248 6.615535 -4.991982 212.4249 210.4208 214.4289 212.4249 3 1 117 1
-3.683278 -3.519291 -16.71637 -7.972978 218.4369 218.4369 218.4369 218.4369 3 1 119 1
-10.34184 -9.651844 -1.887386 -7.293692 218.4369 218.4369 204.4088 213.7608 3 1 123 1
-16.683 -17.69567 -17.98297 -17.45388 210.4208 218.4369 218.4369 215.7649 3 1 125 1
14.13174 13.70121 29.28817 19.04037 218.4369 218.4369 214.4289 217.1009 3 1 128 1
15.21626 15.75398 15.68027 15.55017 218.4369 218.4369 218.4369 218.4369 3 1 132 1
-0.8084698 -1.789621 -1.296254 -1.298115 202.4048 202.4048 202.4048 202.4048 3 1 135 1
-1.062755 0.3438022 -8.409837 -3.04293 218.4369 218.4369 218.4369 218.4369 3 1 137 1
-20.30585 -20.06311 -7.65313 -16.00737 210.4208 208.4168 216.4329 211.7569 3 1 138 1
6.085861 6.049498 15.90988 9.348413 218.4369 218.4369 218.4369 218.4369 3 1 142 1
-6.727945 -6.842741 -10.19052 -7.920401 204.4088 206.4128 202.4048 204.4088 3 1 147 1
6.36368 5.818026 -8.799402 1.127435 202.4048 202.4048 204.4088 203.0728 3 1 151 1
-26.5669 -25.56153 -25.14941 -25.75928 218.4369 218.4369 218.4369 218.4369 3 1 153 1
4.91126 5.329444 -1.949231 2.763824 218.4369 218.4369 218.4369 218.4369 3 1 158 1
-7.715963 -7.786258 8.907525 -2.198232 218.4369 218.4369 218.4369 218.4369 3 1 160 1
-5.383665 -7.048376 6.523402 -1.969546 202.4048 202.4048 206.4128 203.7408 3 1 163 1
-16.56417 -16.20354 -18.68092 -17.14954 218.4369 218.4369 214.4289 217.1009 3 1 166 1
1.414866 1.689064 2.334097 1.812675 204.4088 202.4048 218.4369 208.4168 3 1 169 1
27.72802 26.47395 19.77733 24.65977 202.4048 202.4048 216.4329 207.0808 3 1 175 1
3.377149 3.80426 -3.637281 1.181376 218.4369 218.4369 202.4048 213.0928 3 1 177 1
10.95379 10.59018 13.9684 11.83746 218.4369 218.4369 218.4369 218.4369 3 1 179 1
5.709013 5.291585 24.92414 11.97491 218.4369 218.4369 202.4048 213.0928 3 1 181 1
9.34002 10.44627 7.549958 9.112082 218.4369 218.4369 218.4369 218.4369 3 1 185 1
-16.85775 -15.25063 -8.738139 -13.61551 218.4369 218.4369 202.4048 213.0928 3 1 190 1
-4.411655 -5.238561 0.9914839 -2.886245 218.4369 218.4369 202.4048 213.0928 3 1 194 1
-13.78004 -14.48679 -3.309231 -10.52535 218.4369 218.4369 218.4369 218.4369 3 1 199 1
-9.305969 -9.570591 17.16199 -0.5715218 202.4048 202.4048 202.4048 202.4048 3 1 202 1
-2.518435 -3.20148 -5.071895 -3.59727 218.4369 218.4369 218.4369 218.4369 3 1 205 1
4.782557 4.458919 5.306386 4.849287 202.4048 202.4048 202.4048 202.4048 3 1 206 1
-9.327516 -9.515739 5.73586 -4.369131 218.4369 216.4329 218.4369 217.7689 4 1 3 1
21.44761 22.88822 6.288013 16.87461 218.4369 218.4369 204.4088 213.7608 4 1 13 1
6.104093 6.812912 0.5853176 4.500774 202.4048 202.4048 202.4048 202.4048 4 1 18 1
