amplitude ID time cond
3.521054 29 390.7816 1
3.46094 29 392.7856 1
3.359884 29 394.7896 1
3.233823 29 396.7936 1
3.169978 29 398.7976 1
3.218433 29 400.8016 1
3.380006 29 402.8056 1
3.636206 29 404.8096 1
3.932241 29 406.8136 1
4.212463 29 408.8176 1
4.459557 29 410.8217 1
4.657645 29 412.8257 1
4.797504 29 414.8297 1
4.916265 29 416.8337 1
5.060525 29 418.8377 1
5.222233 29 420.8417 1
5.368819 29 422.8457 1
5.500277 29 424.8497 1
5.634317 29 426.8537 1
5.784157 29 428.8577 1
5.946609 29 430.8617 1
6.105732 29 432.8657 1
6.252859 29 434.8698 1
6.372507 29 436.8737 1
6.449282 29 438.8777 1
6.492594 29 440.8818 1
6.523272 29 442.8858 1
6.564435 29 444.8898 1
6.619114 29 446.8938 1
6.661499 29 448.8978 1
6.675901 29 450.9018 1
6.658216 29 452.9058 1
6.594442 29 454.9098 1
6.480031 29 456.9138 1
6.332678 29 458.9178 1
6.175306 29 460.9218 1
6.006381 29 462.9258 1
5.795589 29 464.9299 1
5.525316 29 466.9339 1
5.23587 29 468.9379 1
5.004289 29 470.9419 1
4.855089 29 472.9459 1
4.74698 29 474.9499 1
4.642708 29 476.9539 1
4.536127 29 478.9579 1
4.42867 29 480.9619 1
4.314363 29 482.9659 1
4.188721 29 484.9699 1
4.055005 29 486.9739 1
3.936152 29 488.978 1
3.861723 29 490.982 1
3.834302 29 492.986 1
3.843515 29 494.99 1
3.866271 29 496.994 1
3.845767 29 498.998 1
3.741445 29 501.002 1
3.579305 29 503.006 1
3.377944 29 505.01 1
3.120231 29 507.014 1
2.819879 29 509.018 1
2.505591 29 511.022 1
2.170232 29 513.0261 1
1.792403 29 515.0301 1
1.36754 29 517.0341 1
0.9265566 29 519.0381 1
0.528822 29 521.0421 1
0.2238013 29 523.0461 1
0.01664265 29 525.0501 1
-0.1243848 29 527.0541 1
-0.2260171 29 529.0581 1
-0.3027309 29 531.0621 1
-0.3785062 29 533.0662 1
-0.4724898 29 535.0701 1
-0.583 29 537.0742 1
-0.7054144 29 539.0782 1
-0.8123596 29 541.0822 1
-0.8608542 29 543.0862 1
-0.850574 29 545.0902 1
-0.8280744 29 547.0942 1
-0.8503177 29 549.0982 1
-0.9271292 29 551.1022 1
-1.027463 29 553.1062 1
-1.126812 29 555.1102 1
-1.20334 29 557.1143 1
-1.243956 29 559.1182 1
-1.255453 29 561.1223 1
-1.252316 29 563.1263 1
-1.263243 29 565.1302 1
-1.305119 29 567.1343 1
-1.345881 29 569.1383 1
-1.33722 29 571.1423 1
-1.277326 29 573.1463 1
-1.208003 29 575.1503 1
-1.156025 29 577.1543 1
-1.121085 29 579.1583 1
-1.090742 29 581.1624 1
-1.049375 29 583.1663 1
-1.000528 29 585.1703 1
-0.9646649 29 587.1744 1
-0.9414597 29 589.1783 1
-0.904986 29 591.1824 1
-0.8477125 29 593.1864 1
-0.7811289 29 595.1904 1
-0.7013353 29 597.1944 1
-0.6199272 29 599.1984 1
-0.5643445 29 601.2024 1
-0.5179789 29 603.2064 1
-0.4496256 29 605.2104 1
-0.3615106 29 607.2144 1
-0.2614152 29 609.2184 1
-0.1629965 29 611.2225 1
-0.1016751 29 613.2264 1
-0.09697048 29 615.2305 1
-0.1168671 29 617.2345 1
-0.1166448 29 619.2385 1
-0.08876491 29 621.2425 1
-0.04458976 29 623.2465 1
0.0122668 29 625.2505 1
0.06960908 29 627.2545 1
0.1019874 29 629.2585 1
0.1074541 29 631.2625 1
0.1046863 29 633.2665 1
0.08887664 29 635.2706 1
0.03631671 29 637.2745 1
-0.07343451 29 639.2786 1
-0.2485087 29 641.2826 1
-0.4572167 29 643.2866 1
-0.6424146 29 645.2906 1
-0.7730812 29 647.2946 1
-0.8523783 29 649.2986 1
-0.8990178 29 651.3026 1
-0.9178147 29 653.3066 1
-0.8766052 29 655.3106 1
-0.7524772 29 657.3146 1
-0.5640963 29 659.3187 1
-0.3282003 29 661.3226 1
-0.04911454 29 663.3267 1
0.2368437 29 665.3307 1
0.4750357 29 667.3347 1
0.6477644 29 669.3387 1
0.7785785 29 671.3427 1
