Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
-0.5405326 0.1130526 -0.4112179 -0.4118472 -0.4142656 -0.6501423 -0.0816358 -0.3610167 -0.1655376 -0.5455507 0.0415724 -0.4100145 -0.305228 -0.3536162 -0.4424411 -0.4266488 -0.6280134 -0.06335679 -0.6292769 -0.09883785 -0.101708 -0.02995419 -0.1528318 0.3750582 0.02936522 0.3362606 -0.08076145 0.07604483 0.4387602 0.1055969 0.4917766 0.3862917 0.5654183 0.4056535 0.7555705 0.3619372 0.6090834 0.4196515 0.6135653 0.5080312 -158.3166 1
-0.5074 0.09305136 -0.3905725 -0.3782131 -0.3933477 -0.6764395 -0.05144287 -0.3068737 -0.1295686 -0.5346135 0.03194379 -0.3820348 -0.2540872 -0.3491111 -0.4272404 -0.3916796 -0.6215824 -0.06979743 -0.5509772 -0.08518703 -0.13175 -0.0296678 -0.1394796 0.3575007 0.0350346 0.3673921 -0.1222007 0.04943036 0.4143604 0.1023831 0.4714295 0.3731689 0.5257208 0.3681839 0.6868489 0.319969 0.5746539 0.3865727 0.5599907 0.4774147 -156.3126 1
-0.4562703 0.08285246 -0.4035785 -0.3451325 -0.369101 -0.6874514 -0.04638625 -0.2975902 -0.08695854 -0.5082898 0.01175096 -0.3531833 -0.1815894 -0.34193 -0.4149773 -0.3469594 -0.6046736 -0.08678403 -0.4527522 -0.0397942 -0.1495663 -0.02950964 -0.1269037 0.3472425 0.05770615 0.3518537 -0.1521614 0.0269556 0.3947308 0.09649132 0.4395438 0.3793203 0.4632041 0.3384137 0.6108017 0.2833442 0.5268207 0.3684335 0.4968998 0.4448173 -154.3086 1
-0.4370854 0.05312474 -0.4431645 -0.3103448 -0.3434232 -0.6745279 -0.07075376 -0.342723 -0.04871641 -0.4594654 -0.002902098 -0.3420513 -0.1059309 -0.3322347 -0.4044531 -0.2978682 -0.5796295 -0.109302 -0.3587088 0.03053469 -0.1609916 -0.02393162 -0.119973 0.3428528 0.08157215 0.3692182 -0.1739492 0.005489115 0.3955961 0.0822382 0.4098068 0.4134331 0.4113577 0.311695 0.5487879 0.2557605 0.4829006 0.3609854 0.4432349 0.4096803 -152.3046 1
-0.4377898 -0.0109661 -0.482323 -0.2621376 -0.312893 -0.6313881 -0.1084689 -0.3850193 0.0001251409 -0.4018739 -0.005323921 -0.3407 -0.02741006 -0.3236788 -0.3935259 -0.2581698 -0.5489074 -0.1241247 -0.2871175 0.125396 -0.1712368 -0.01397752 -0.1208513 0.3480354 0.1007771 0.3440638 -0.1832653 -0.01653234 0.4053754 0.04439743 0.3878015 0.4382356 0.3786386 0.2831183 0.4918218 0.2139001 0.4498478 0.3515175 0.3924311 0.3774797 -150.3006 1
-0.4779501 -0.09228687 -0.4847388 -0.2077145 -0.2734914 -0.568586 -0.134942 -0.3992042 0.05907154 -0.3540023 -0.009007068 -0.3390775 0.04596496 -0.3130212 -0.3815021 -0.2315027 -0.5146849 -0.1213477 -0.2405098 0.2320279 -0.1854759 0.003859937 -0.1224236 0.3595605 0.1010614 0.3477587 -0.1854549 -0.03921622 0.4118932 -0.001072246 0.3737995 0.4351219 0.3613686 0.2534532 0.4371675 0.1683947 0.4169064 0.3333454 0.3370775 0.3464474 -148.2966 1
-0.5282027 -0.168199 -0.4442614 -0.1571932 -0.2312977 -0.5047669 -0.1429439 -0.3769259 0.1128645 -0.3216811 -0.01916413 -0.3183362 0.1035342 -0.3008412 -0.3754721 -0.2120264 -0.4789391 -0.103471 -0.2122963 0.3133702 -0.2028717 0.01999465 -0.1206 0.3696232 0.08647171 0.3400626 -0.1791689 -0.05604106 0.4033587 -0.04268291 0.3524199 0.4197756 0.3651648 0.2309121 0.386723 0.1421746 0.3798252 0.3234595 0.288494 0.3294151 -146.2926 1
-0.5812009 -0.2247525 -0.3831787 -0.112978 -0.2081749 -0.4489026 -0.13454 -0.3519974 0.1649266 -0.2967836 -0.0250645 -0.2722744 0.1468049 -0.3001578 -0.3782886 -0.204865 -0.4518384 -0.0814552 -0.1920382 0.3486271 -0.2224991 0.02287815 -0.1170736 0.3708881 0.05883358 0.3253205 -0.1742162 -0.06986837 0.3805869 -0.06391407 0.3149303 0.4228118 0.3811451 0.2157044 0.3378718 0.1599281 0.345138 0.3352214 0.2470141 0.3242072 -144.2886 1
-0.6432737 -0.2197999 -0.3169932 -0.07783262 -0.2033247 -0.3926453 -0.1166699 -0.3141849 0.2248455 -0.2626274 -0.01994851 -0.1923083 0.1659218 -0.3067427 -0.3785691 -0.2092336 -0.4318156 -0.06723415 -0.1595965 0.3381897 -0.2405733 0.006265761 -0.1089101 0.3542059 0.04189514 0.2952093 -0.1753869 -0.0810013 0.3432935 -0.06597228 0.2497963 0.4520538 0.3698167 0.204373 0.2822123 0.2095182 0.2992689 0.3622832 0.2019598 0.312021 -142.2846 1
-0.6919371 -0.165079 -0.2603912 -0.07055599 -0.2145581 -0.3512435 -0.1044059 -0.2605061 0.2871147 -0.2112785 -0.0116988 -0.0959193 0.1573759 -0.3184474 -0.3822661 -0.2285671 -0.4017461 -0.06620651 -0.08500796 0.3037697 -0.2623274 -0.0211286 -0.08583243 0.3274068 0.06098617 0.2891156 -0.1871068 -0.09509504 0.2960375 -0.04910729 0.1686047 0.4880187 0.3473358 0.1824889 0.216007 0.2562347 0.2463321 0.3818699 0.1464785 0.289048 -140.2806 1
-0.7462249 -0.1030909 -0.1971679 -0.08502078 -0.2334516 -0.3387239 -0.09897756 -0.2051204 0.3319672 -0.1491798 -0.004317545 -0.01245565 0.1259543 -0.3328007 -0.3967579 -0.2581231 -0.3543328 -0.07129167 0.02400855 0.2539307 -0.2795266 -0.05020577 -0.04967377 0.2943265 0.1151724 0.2560263 -0.2085549 -0.1108486 0.2481573 -0.02354682 0.09304731 0.51754 0.3454966 0.1525533 0.1577006 0.283346 0.2027764 0.3893978 0.1017157 0.2655756 -138.2766 1
-0.8296208 -0.08166971 -0.1319323 -0.1155156 -0.2572148 -0.3556174 -0.09689932 -0.1693924 0.3482813 -0.07350256 0.007095277 0.0495818 0.08664385 -0.3491586 -0.417556 -0.2923359 -0.2920543 -0.07273062 0.1402455 0.1949289 -0.2874381 -0.07339028 -0.008970851 0.2441544 0.1825016 0.252706 -0.2413629 -0.1237789 0.1976179 0.00981673 0.04319644 0.5332527 0.3717709 0.1196554 0.1093576 0.2948529 0.1801161 0.3860099 0.07791751 0.2488055 -136.2726 1
