PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
-6.600293 -8.563723 -11.03951 -13.83601 -12.66682 -8.998934 -9.000485 -13.21054 -2.312913 -9.581026 1 1 184
-0.6055136 -4.601449 5.570137 -1.085642 -2.876531 -7.365039 18.01158 3.250607 13.60325 2.655711 1 1 188
-10.72466 5.29022 3.486355 -0.5546477 14.70191 -12.54494 14.76728 3.764123 30.00036 5.354 1 1 193
-6.622501 -4.025208 -4.955367 -6.407229 25.80051 18.71547 18.66153 29.68219 14.43923 9.476514 1 1 198
-4.184365 2.232122 -7.967865 1.872151 -2.759008 15.12118 -11.88933 -7.53374 -5.020874 -2.236636 1 1 200
6.444473 12.29955 7.388654 17.04389 -13.98017 2.756259 -8.361371 -3.329825 -5.721001 1.615607 1 1 203
-15.21815 9.69072 -18.9696 -9.243233 -7.169165 -0.707023 -7.907106 -3.736262 6.181358 -5.23094 1 1 207
33.96092 -1.198123 8.728191 31.43452 37.77551 34.84381 24.25035 4.972276 -8.299598 18.49643 2 1 1
24.15593 11.18577 18.05136 17.05593 23.96262 25.9067 26.42002 8.033422 8.343514 18.12392 2 1 7
35.34531 9.015589 20.68073 27.26658 27.88669 28.15708 38.29331 13.94014 4.924734 22.83446 2 1 9
12.34156 -1.218845 8.813707 -3.762367 40.8597 11.26285 22.514 14.41466 -1.37822 11.53856 2 1 15
36.46283 11.35769 2.534861 28.86997 55.20876 42.72729 42.16147 40.15656 21.81171 31.25457 2 1 17
16.71276 8.565434 9.673973 9.765432 0.6917024 7.376234 7.071933 5.40941 13.73782 8.778301 2 1 20
15.71295 12.50592 3.251463 24.36872 2.159365 15.48884 16.76288 1.371956 8.749834 11.15243 2 1 23
-5.024077 -8.491373 -14.98368 -18.89413 -2.155689 -9.131866 16.71094 5.971936 -17.64505 -5.960332 2 1 26
15.46762 -1.010976 2.777493 17.79512 8.18819 15.39882 9.226239 -0.2989158 -2.475396 7.2298 2 1 30
18.10839 5.556584 24.61557 17.22024 -0.219983 17.32003 -16.39838 6.24642 1.19274 8.182402 2 1 32
