Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.0652189 0.02225907 -0.1165233 -0.2481669 -0.03418177 -0.4269204 -0.1907719 -0.1805864 -0.6135386 -0.3737923 -0.1659439 -0.231611 -0.3826376 -0.1949314 -0.0610658 0.03615521 -0.5173998 0.2147903 -0.2164459 -0.2261537 -0.1583607 0.1916375 -0.3757391 0.7382036 0.03625147 0.5962936 -0.07343411 -0.1005272 0.2993259 0.07817869 0.8460934 -0.1507075 0.642291 0.001413932 0.4320348 0.09095885 0.5988764 -0.2598014 0.1566838 0.0198318 -160.3206 1
0.3246347 0.1481211 -0.1796357 -0.2305825 0.04020645 -0.4219313 -0.1952983 -0.2016547 -0.6125941 -0.3390451 -0.2725145 -0.2284823 -0.3326134 -0.1544688 0.001901178 0.08536559 -0.4460021 0.2416498 -0.2193253 -0.2570517 -0.1032862 0.2329307 -0.3692129 0.7171718 0.03809652 0.5796591 -0.0624491 -0.09608633 0.2676528 0.06433053 0.7734721 -0.2109946 0.556159 -0.02776513 0.3957649 0.04288578 0.52797 -0.2889727 0.1150765 -0.033479 -158.3166 1
0.1750509 0.1169804 -0.2009427 -0.2112859 0.09286004 -0.3773772 -0.1592165 -0.2266304 -0.5925492 -0.3043043 -0.3152576 -0.2296679 -0.3013495 -0.1098443 0.05746469 0.1256152 -0.3896426 0.2338955 -0.2011514 -0.2463325 -0.06452264 0.2609446 -0.3558457 0.6953657 0.04705544 0.5606781 -0.04546475 -0.06922527 0.2938004 0.07352383 0.6957964 -0.2200597 0.5180585 -0.0277023 0.4071233 0.003097045 0.4714227 -0.3276176 0.1201318 -0.06368784 -156.3126 1
0.2003949 0.1600015 -0.1860598 -0.2396517 0.1191518 -0.3273053 -0.1293339 -0.2107285 -0.5791419 -0.2996543 -0.3009685 -0.2534298 -0.3091945 -0.08633974 0.07926733 0.1558018 -0.351044 0.2235896 -0.1867419 -0.2329721 -0.0482295 0.2697414 -0.3445335 0.6490657 0.03754185 0.5102038 -0.03069651 -0.05961956 0.3155168 0.07706397 0.6090035 -0.2074519 0.497187 -0.05261109 0.4196087 -0.04084742 0.4183215 -0.3636257 0.1266722 -0.1044856 -154.3086 1
0.3379757 0.2415058 -0.1359768 -0.2653826 0.1395412 -0.2722888 -0.08723341 -0.1858113 -0.5677704 -0.3096458 -0.2490254 -0.281011 -0.3405015 -0.08031356 0.08745679 0.1820608 -0.3211607 0.2228395 -0.191245 -0.2258908 -0.04568696 0.2681042 -0.3361567 0.5945265 0.003054988 0.4611667 -0.01465784 -0.05694187 0.3165024 0.06467882 0.5415192 -0.2097496 0.4915904 -0.08481622 0.3963051 -0.09482359 0.3767654 -0.3907612 0.1171335 -0.1532609 -152.3046 1
0.2922009 0.2150936 -0.07470781 -0.2593356 0.1577909 -0.1986646 -0.01176784 -0.1695736 -0.5677181 -0.2966691 -0.1989147 -0.2791415 -0.3785034 -0.06182015 0.09821754 0.1975264 -0.3038082 0.2121219 -0.1838883 -0.2380437 -0.05072664 0.2515797 -0.3152405 0.551452 -0.0100829 0.4358959 -0.00295546 -0.03658615 0.3302043 0.06334164 0.5126144 -0.2057528 0.5048959 -0.09188958 0.3799304 -0.1278019 0.3535131 -0.4259389 0.1080396 -0.209875 -150.3006 1
0.3605384 0.2222201 -0.007750013 -0.2656952 0.1609131 -0.1348579 0.02620859 -0.1427808 -0.5689008 -0.2698253 -0.1736404 -0.2350858 -0.4271889 -0.06145985 0.09852055 0.2029667 -0.2889606 0.2086878 -0.1437582 -0.2784778 -0.05506996 0.2247819 -0.2822261 0.5039051 0.0104783 0.4089745 0.005804888 -0.01787366 0.3154022 0.06876753 0.4614493 -0.2047771 0.4838488 -0.0960488 0.3730105 -0.1465271 0.2947145 -0.4449823 0.1089001 -0.2578867 -148.2966 1
0.2000349 0.1381336 0.06889953 -0.2778107 0.1669769 -0.06026024 0.03889723 -0.1298293 -0.5765871 -0.2163831 -0.1701953 -0.1614874 -0.4997245 -0.05677327 0.1113065 0.2083503 -0.2661004 0.1857273 -0.08196216 -0.3371485 -0.04992507 0.1995408 -0.2388684 0.4624236 0.07638972 0.3736595 0.0166179 0.02274648 0.311879 0.09552563 0.4377807 -0.1751344 0.5003375 -0.05886111 0.3405972 -0.1450036 0.268166 -0.4317557 0.1002101 -0.2770457 -146.2926 1
0.3150363 0.2107643 0.1276088 -0.3006518 0.1540851 -0.007380507 0.001412849 -0.1213728 -0.5900556 -0.1837586 -0.17788 -0.1099652 -0.5929397 -0.0486776 0.1026917 0.2061406 -0.2520255 0.1749995 -0.01558202 -0.4025843 -0.04529787 0.1741669 -0.204278 0.4079084 0.1463891 0.3015451 0.0311585 0.04296071 0.2699444 0.1175608 0.3836643 -0.1403129 0.4886003 -0.03251638 0.284353 -0.1405271 0.2149854 -0.3873262 0.08576708 -0.2894829 -144.2886 1
0.2044508 0.2156477 0.1624096 -0.267141 0.1401071 0.02625898 -0.02180325 -0.1304164 -0.5887705 -0.1547031 -0.1412461 -0.06199862 -0.6520281 -0.04654741 0.08743168 0.1962309 -0.2526925 0.1582427 0.05274629 -0.4345016 -0.05200172 0.1476045 -0.179587 0.3741179 0.1951304 0.2351162 0.0526164 0.06734718 0.2478315 0.1428907 0.3310188 -0.07611466 0.4767502 0.01716705 0.2449232 -0.1208536 0.1741788 -0.3336801 0.08748312 -0.2740733 -142.2846 1
