PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
-3.553242 14.67908 5.016376 10.62566 19.72689 34.00777 -17.13665 22.34219 -3.137144 9.174547 1 1 85
-24.3186 2.864027 -21.98746 -12.2124 -21.12017 -17.819 -17.59691 -4.911799 -10.88832 -14.22118 1 1 87
10.79353 2.394786 6.425814 11.10788 -12.1851 -0.4399463 1.286383 -11.10884 -3.170762 0.5670828 1 1 92
10.22151 6.698829 3.37045 -6.628939 6.184711 15.62439 -14.40016 -0.2944887 -11.27116 1.056128 1 1 94
-1.563991 6.168317 5.710451 17.3527 -7.604165 -8.803007 6.033578 -6.853424 15.09447 2.837214 1 1 96
1.22226 5.627854 7.38382 4.933238 15.23896 12.02236 10.13925 17.49558 8.630116 9.18816 1 1 101
13.57094 17.89044 7.273994 26.96138 14.82358 18.80119 21.02016 9.072723 -5.359371 13.78389 1 1 105
9.714209 -11.33868 -6.730688 -6.397528 32.33733 12.23049 46.78582 22.69028 32.09303 14.59825 1 1 107
19.1165 -5.4072 4.116502 18.07451 -25.7258 -18.12288 -2.578381 -32.17206 -24.79347 -7.499142 1 1 112
19.54212 -18.57534 3.86312 -1.321734 11.67686 -28.52891 43.191 2.05338 33.68462 7.287237 1 1 113
35.35144 1.100283 23.00671 27.00014 1.476014 15.97194 -1.264165 -7.537588 -17.62547 8.60881 1 1 118
15.77136 -4.480309 -0.4767186 -4.481547 23.30455 14.1491 25.4167 9.341722 4.712758 9.250847 1 1 120
22.14457 8.608573 -0.66702 7.557744 15.35449 24.71423 42.53006 17.89627 30.27469 18.71262 1 1 122
-7.254545 -9.041891 -3.082802 -12.00391 6.834852 15.61613 -16.63403 13.68134 -32.64343 -4.947587 1 1 130
36.77695 -7.615965 19.59077 22.25699 17.74761 23.02112 28.0425 7.737751 1.556985 16.5683 1 1 134
11.77985 5.630992 -1.231785 12.58061 2.958174 14.05836 21.05008 1.776698 -1.24085 7.48468 1 1 139
19.76687 -18.01578 7.864931 4.177922 38.70855 -4.260643 58.48413 29.74232 33.15257 18.84676 1 1 141
10.59766 3.019303 11.74302 13.92779 6.645482 7.239437 -1.947085 7.18812 4.055809 6.941059 1 1 146
-14.20536 8.55128 -1.109062 2.032079 -19.24616 -4.730614 -19.08878 -21.31466 -31.21037 -11.14685 1 1 149
5.850708 -14.79327 -5.752857 -2.630017 4.426881 13.14654 -3.555337 3.303934 4.84473 0.5379233 1 1 150
22.68375 5.724273 -3.100513 -5.98271 -4.675965 7.171119 13.86386 -0.8710017 8.26144 4.786028 1 1 155
