P8_amp TP8_amp CP6_amp ROI_GA_amp P8_lat TP8_lat CP6_lat ROI_GA_lat emotion ID Trial hem
11.51757 -6.531043 32.11446 12.367 222.4449 222.4449 222.4449 222.4449 2 1 196 2
-15.21513 -20.77112 6.95492 -9.67711 212.4249 208.4168 212.4249 211.0889 2 1 197 2
-4.782845 6.851458 2.767544 1.612052 206.4128 206.4128 206.4128 206.4128 2 1 201 2
-13.4128 -11.45496 -2.970376 -9.279378 222.4449 222.4449 206.4128 217.1009 3 1 2 2
-16.77075 1.721163 -9.396733 -8.148773 220.4409 218.4369 222.4449 220.4409 3 1 5 2
-4.914345 -4.271811 3.06788 -2.039425 210.4208 216.4329 220.4409 215.7649 3 1 8 2
-11.12102 -23.35656 -3.495631 -12.65774 222.4449 222.4449 222.4449 222.4449 3 1 10 2
0.6505612 6.138055 -8.571824 -0.5944025 222.4449 222.4449 206.4128 217.1009 3 1 12 2
-8.787998 11.74077 -19.29502 -5.447414 222.4449 206.4128 220.4409 216.4329 3 1 21 2
-0.8116977 -3.17922 -2.657802 -2.21624 206.4128 206.4128 206.4128 206.4128 3 1 25 2
8.42019 -1.453366 -2.652004 1.438273 222.4449 222.4449 206.4128 217.1009 3 1 28 2
-16.59052 -35.8313 -21.42767 -24.6165 222.4449 206.4128 218.4369 215.7649 3 1 29 2
-17.14769 6.999405 -10.2075 -6.785261 214.4289 222.4449 222.4449 219.7729 3 1 34 2
-12.84795 -4.864897 -14.64273 -10.78519 222.4449 222.4449 222.4449 222.4449 3 1 38 2
-21.43822 -31.80753 -12.8605 -22.03542 222.4449 222.4449 222.4449 222.4449 3 1 39 2
7.110151 -17.03627 -15.66849 -8.531534 218.4369 216.4329 214.4289 216.4329 3 1 41 2
7.408534 12.56186 -8.354197 3.872066 206.4128 206.4128 220.4409 211.0889 3 1 43 2
6.288087 2.158321 13.46956 7.305323 206.4128 218.4369 206.4128 210.4208 3 1 51 2
-4.901968 9.163976 -12.91785 -2.885281 206.4128 206.4128 206.4128 206.4128 3 1 55 2
-12.02765 12.23578 -4.216451 -1.336106 222.4449 222.4449 214.4289 219.7729 3 1 57 2
-0.828746 -17.3901 9.110584 -3.036088 222.4449 222.4449 222.4449 222.4449 3 1 60 2
-5.307741 0.8536775 9.853704 1.79988 206.4128 206.4128 222.4449 211.7569 3 1 64 2
2.598847 -8.460227 19.02213 4.386918 222.4449 222.4449 222.4449 222.4449 3 1 67 2
-7.995206 -16.35914 0.785959 -7.856129 208.4168 214.4289 210.4208 211.0889 3 1 70 2
0.5024663 -1.626565 -26.24096 -9.121685 218.4369 218.4369 212.4249 216.4329 3 1 75 2
12.35575 0.08126625 -6.102224 2.111599 206.4128 216.4329 206.4128 209.7528 3 1 77 2
1.096888 -17.31224 4.993805 -3.740517 206.4128 214.4289 220.4409 213.7608 3 1 86 2
4.573329 1.961712 9.542703 5.359248 206.4128 222.4449 206.4128 211.7569 3 1 90 2
3.631471 17.51898 18.65955 13.27 206.4128 206.4128 222.4449 211.7569 3 1 93 2
8.801927 1.532921 6.410767 5.581872 222.4449 222.4449 222.4449 222.4449 3 1 98 2
-4.5881 0.1325226 -6.421094 -3.625557 206.4128 222.4449 206.4128 211.7569 3 1 102 2
-13.14758 -8.026107 -21.88625 -14.35331 208.4168 206.4128 212.4249 209.0848 3 1 104 2
4.54125 -8.592487 -2.462013 -2.171083 208.4168 222.4449 210.4208 213.7608 3 1 109 2
0.5032707 -1.236278 -13.52934 -4.754117 222.4449 222.4449 222.4449 222.4449 3 1 111 2
2.86189 4.536872 6.752688 4.71715 222.4449 222.4449 214.4289 219.7729 3 1 117 2
5.52848 0.5781125 -6.827865 -0.2404243 216.4329 214.4289 222.4449 217.7689 3 1 119 2
-13.24012 -17.60443 -2.027659 -10.95741 208.4168 206.4128 206.4128 207.0808 3 1 123 2
8.054189 0.8343127 0.5876788 3.158727 222.4449 206.4128 222.4449 217.1009 3 1 125 2
-1.196536 -1.134554 1.937556 -0.131178 216.4329 206.4128 210.4208 211.0889 3 1 128 2
18.80714 3.081598 17.73113 13.20662 206.4128 206.4128 206.4128 206.4128 3 1 132 2
-2.783887 -12.61412 -7.791255 -7.729753 222.4449 222.4449 222.4449 222.4449 3 1 135 2
-2.232432 0.8145791 3.995439 0.8591955 208.4168 214.4289 222.4449 215.0969 3 1 137 2
12.87057 11.76022 0.6038687 8.411553 222.4449 214.4289 216.4329 217.7689 3 1 138 2
22.78408 7.485009 33.53489 21.26799 206.4128 206.4128 220.4409 211.0889 3 1 142 2
0.661023 -3.365634 -1.40548 -1.37003 208.4168 220.4409 218.4369 215.7649 3 1 147 2
-1.138502 -1.773259 -9.440094 -4.117285 206.4128 208.4168 206.4128 207.0808 3 1 151 2
-2.975602 14.56522 -5.13655 2.151021 222.4449 206.4128 222.4449 217.1009 3 1 153 2
3.721522 -3.904802 9.849987 3.222236 206.4128 208.4168 218.4369 211.0889 3 1 158 2
0.02637524 13.06119 1.774603 4.954056 222.4449 222.4449 222.4449 222.4449 3 1 160 2
16.89789 32.4517 21.91779 23.75579 206.4128 222.4449 206.4128 211.7569 3 1 163 2
-28.2219 0.60285 -4.44381 -10.68762 218.4369 220.4409 212.4249 217.1009 3 1 166 2
-13.30708 -6.153468 3.257444 -5.401034 222.4449 222.4449 222.4449 222.4449 3 1 169 2
-1.62427 -29.44904 4.115909 -8.985802 222.4449 222.4449 222.4449 222.4449 3 1 175 2
0.2661291 2.326308 9.405045 3.999161 222.4449 212.4249 222.4449 219.1049 3 1 177 2
-0.007429255 -11.11265 7.16925 -1.316942 222.4449 220.4409 222.4449 221.7769 3 1 179 2
-0.7900374 -11.14637 7.116276 -1.606712 206.4128 208.4168 206.4128 207.0808 3 1 181 2
3.872866 8.339176 -0.05986306 4.050726 210.4208 206.4128 222.4449 213.0928 3 1 185 2
-14.45415 -4.964449 -20.19582 -13.20481 206.4128 206.4128 206.4128 206.4128 3 1 190 2
-6.844064 -28.79665 -12.30791 -15.98287 222.4449 222.4449 222.4449 222.4449 3 1 194 2
6.560065 16.66413 -1.756042 7.156052 222.4449 222.4449 222.4449 222.4449 3 1 199 2
