amplitude ID time cond
-0.8099811 2 505.01 2
-0.6776373 2 507.014 2
-0.5029804 2 509.018 2
-0.3306991 2 511.022 2
-0.1349427 2 513.0261 2
0.06517863 2 515.0301 2
0.2682959 2 517.0341 2
0.4236371 2 519.0381 2
0.5192407 2 521.0421 2
0.580565 2 523.0461 2
0.5658268 2 525.0501 2
0.4394921 2 527.0541 2
0.18761 2 529.0581 2
-0.1278164 2 531.0621 2
-0.4427586 2 533.0662 2
-0.6582827 2 535.0701 2
-0.7046969 2 537.0742 2
-0.6541077 2 539.0782 2
-0.556362 2 541.0822 2
-0.4368861 2 543.0862 2
-0.3419948 2 545.0902 2
-0.2364654 2 547.0942 2
-0.1380971 2 549.0982 2
-0.07738713 2 551.1022 2
-0.0458411 2 553.1062 2
-0.07927871 2 555.1102 2
-0.1652735 2 557.1143 2
-0.3113817 2 559.1182 2
-0.4769207 2 561.1223 2
-0.591594 2 563.1263 2
-0.6572644 2 565.1302 2
-0.6781308 2 567.1343 2
-0.6489505 2 569.1383 2
-0.6353974 2 571.1423 2
-0.6291015 2 573.1463 2
-0.6355957 2 575.1503 2
-0.6481454 2 577.1543 2
-0.6626558 2 579.1583 2
-0.6898665 2 581.1624 2
-0.7017692 2 583.1663 2
-0.6812356 2 585.1703 2
-0.6405037 2 587.1744 2
-0.6431952 2 589.1783 2
-0.6269603 2 591.1824 2
-0.5949473 2 593.1864 2
-0.51625 2 595.1904 2
-0.4392338 2 597.1944 2
-0.3655046 2 599.1984 2
-0.3312548 2 601.2024 2
-0.3985776 2 603.2064 2
-0.5452599 2 605.2104 2
-0.6681083 2 607.2144 2
-0.733474 2 609.2184 2
-0.8010285 2 611.2225 2
-0.890341 2 613.2264 2
-1.002959 2 615.2305 2
-1.030506 2 617.2345 2
-0.9912059 2 619.2385 2
-0.8968036 2 621.2425 2
-0.7747723 2 623.2465 2
-0.6375305 2 625.2505 2
-0.5369295 2 627.2545 2
-0.5162287 2 629.2585 2
-0.5073058 2 631.2625 2
-0.5767249 2 633.2665 2
-0.6730461 2 635.2706 2
-0.8214798 2 637.2745 2
-0.9802799 2 639.2786 2
-1.158199 2 641.2826 2
-1.356659 2 643.2866 2
-1.559375 2 645.2906 2
-1.733315 2 647.2946 2
-1.853412 2 649.2986 2
-1.929087 2 651.3026 2
-2.003472 2 653.3066 2
-2.103081 2 655.3106 2
-2.234755 2 657.3146 2
-2.378871 2 659.3187 2
-2.469045 2 661.3226 2
-2.486168 2 663.3267 2
-2.448552 2 665.3307 2
-2.41068 2 667.3347 2
-2.335244 2 669.3387 2
-2.254339 2 671.3427 2
-2.15715 2 673.3467 2
-2.027634 2 675.3507 2
-1.966528 2 677.3547 2
-1.98993 2 679.3587 2
-2.038624 2 681.3627 2
-2.082917 2 683.3668 2
-2.111134 2 685.3707 2
-2.100815 2 687.3748 2
-2.046905 2 689.3788 2
-1.981688 2 691.3828 2
-1.904158 2 693.3868 2
-1.828771 2 695.3908 2
-1.740238 2 697.3948 2
-1.669313 2 699.3988 2
-1.597944 2 701.4028 2
-1.537654 2 703.4068 2
-1.505661 2 705.4108 2
-1.507349 2 707.4149 2
-1.504511 2 709.4188 2
-1.495531 2 711.4229 2
-1.470239 2 713.4269 2
-1.483546 2 715.4308 2
-1.522225 2 717.4349 2
-1.555317 2 719.4389 2
-1.601333 2 721.4429 2
-1.653331 2 723.4469 2
-1.761944 2 725.4509 2
-1.897133 2 727.4549 2
-2.105735 2 729.4589 2
-2.323156 2 731.463 2
-2.48161 2 733.4669 2
-2.578884 2 735.4709 2
-2.604041 2 737.475 2
-2.629708 2 739.4789 2
-2.62203 2 741.483 2
-2.602312 2 743.487 2
-2.590015 2 745.491 2
-2.589007 2 747.495 2
-2.640681 2 749.499 2
-2.709209 2 751.503 2
-2.780262 2 753.507 2
-2.86325 2 755.511 2
-2.946834 2 757.515 2
-3.011552 2 759.519 2
-3.024185 2 761.5231 2
-2.998925 2 763.527 2
-2.962708 2 765.5311 2
-2.92767 2 767.5351 2
-2.875026 2 769.5391 2
-2.745829 2 771.5431 2
-2.594212 2 773.5471 2
-2.465698 2 775.5511 2
-2.382248 2 777.5551 2
-2.324946 2 779.5591 2
-2.329789 2 781.5631 2
-2.417894 2 783.5671 2
-2.50352 2 785.5712 2
-2.556653 2 787.5751 2
-2.516664 2 789.5792 2
-2.423258 2 791.5832 2
-2.341468 2 793.5872 2
-2.286479 2 795.5912 2
-2.226224 2 797.5952 2
-2.157945 2 799.5992 2
-2.060302 2 801.6032 2
-1.935458 2 803.6072 2
-1.839504 2 805.6112 2
-1.792323 2 807.6152 2
-1.808559 2 809.6193 2
-1.811858 2 811.6232 2
-1.760303 2 813.6273 2
-1.622902 2 815.6313 2
-1.428036 2 817.6353 2
-1.237217 2 819.6393 2
-1.019818 2 821.6433 2
-0.7570629 2 823.6473 2
-0.4679731 2 825.6513 2
-0.2900883 2 827.6553 2
-0.2407873 2 829.6593 2
-0.297792 2 831.6633 2
-0.4350597 2 833.6674 2
-0.6331155 2 835.6713 2
-0.9012306 2 837.6754 2
-1.200195 2 839.6794 2
-1.533922 2 841.6833 2
-1.850017 2 843.6874 2
-2.039667 2 845.6914 2
-2.132359 2 847.6954 2
-2.111501 2 849.6994 2
-2.01327 2 851.7034 2
-1.923205 2 853.7074 2
-1.885107 2 855.7114 2
-1.918821 2 857.7155 2
-1.976177 2 859.7194 2
-1.993702 2 861.7234 2
-2.018492 2 863.7275 2
-2.040625 2 865.7314 2
-2.068533 2 867.7355 2
-2.079871 2 869.7395 2
-2.075452 2 871.7435 2
-2.09958 2 873.7475 2
-2.144982 2 875.7515 2
-2.150901 2 877.7555 2
-2.115424 2 879.7595 2
-2.008653 2 881.7635 2
-1.884527 2 883.7675 2
-1.75848 2 885.7715 2
-1.621805 2 887.7756 2
-1.529915 2 889.7795 2
-1.420435 2 891.7836 2
-1.293601 2 893.7876 2
-1.174136 2 895.7916 2
-1.034663 2 897.7956 2
-0.8851851 2 899.7996 2
-0.7337937 2 901.8036 2
-0.5566081 2 903.8076 2
-0.388473 2 905.8116 2
-0.2160045 2 907.8156 2
-0.1122376 2 909.8196 2
-0.04220438 2 911.8237 2
0.01418972 2 913.8276 2
0.0787646 2 915.8317 2
0.1374938 2 917.8357 2
0.201732 2 919.8397 2
0.2238345 2 921.8437 2
0.1820051 2 923.8477 2
0.04776128 2 925.8517 2
-0.09329399 2 927.8557 2
-0.2126718 2 929.8597 2
-0.2964621 2 931.8637 2
-0.3157848 2 933.8677 2
-0.2580298 2 935.8718 2
-0.158682 2 937.8757 2
-0.08170859 2 939.8798 2
-0.04575872 2 941.8838 2
-0.04634666 2 943.8878 2
-0.09445286 2 945.8918 2
-0.1576943 2 947.8958 2
-0.2399255 2 949.8998 2
-0.319819 2 951.9038 2
-0.4142356 2 953.9078 2
-0.5350301 2 955.9118 2
-0.6378749 2 957.9158 2
-0.7505293 2 959.9199 2
-0.8743332 2 961.9238 2
-0.9997931 2 963.9279 2
-1.160383 2 965.9319 2
-1.347109 2 967.9359 2
-1.522462 2 969.9399 2
-1.653515 2 971.9439 2
-1.760141 2 973.9479 2
-1.888136 2 975.9519 2
-1.98191 2 977.9559 2
-2.05782 2 979.9599 2
-2.100831 2 981.9639 2
-2.137775 2 983.968 2
-2.171306 2 985.9719 2
-2.24907 2 987.976 2
-2.288628 2 989.98 2
-2.272997 2 991.9839 2
-2.187973 2 993.988 2
-2.119823 2 995.992 2
-2.072578 2 997.996 2
0.1403373 3 -200.4008 2
0.08418099 3 -198.3968 2
0.03062029 3 -196.3928 2
-0.001643106 3 -194.3888 2
0.01761356 3 -192.3848 2
0.09054605 3 -190.3808 2
0.2076097 3 -188.3768 2
0.3483482 3 -186.3727 2
0.4651208 3 -184.3687 2
0.5323344 3 -182.3647 2
0.5649347 3 -180.3607 2
0.5699604 3 -178.3567 2
0.5270585 3 -176.3527 2
0.4244222 3 -174.3487 2
0.2867854 3 -172.3447 2
0.1475097 3 -170.3407 2
0.01696161 3 -168.3367 2
-0.09626428 3 -166.3327 2
-0.1730409 3 -164.3287 2
-0.1999865 3 -162.3246 2
-0.1645111 3 -160.3206 2
-0.0644271 3 -158.3166 2
0.0838749 3 -156.3126 2
0.242768 3 -154.3086 2
0.3543191 3 -152.3046 2
0.3985165 3 -150.3006 2
0.4162667 3 -148.2966 2
0.4496172 3 -146.2926 2
0.504973 3 -144.2886 2
0.568857 3 -142.2846 2
0.624501 3 -140.2806 2
0.6500506 3 -138.2766 2
0.6129376 3 -136.2726 2
0.49006 3 -134.2685 2
0.2945148 3 -132.2645 2
0.06741909 3 -130.2605 2
-0.1481869 3 -128.2565 2
-0.3419537 3 -126.2525 2
-0.5339093 3 -124.2485 2
-0.7385502 3 -122.2445 2
-0.9194524 3 -120.2405 2
-1.008863 3 -118.2365 2
-0.9967031 3 -116.2325 2
-0.9299977 3 -114.2285 2
-0.8430314 3 -112.2244 2
-0.7364953 3 -110.2204 2
-0.5984388 3 -108.2164 2
-0.4497556 3 -106.2124 2
-0.3478661 3 -104.2084 2
-0.3143506 3 -102.2044 2
-0.3198462 3 -100.2004 2
-0.3331927 3 -98.1964 2
-0.3342975 3 -96.19238 2
-0.3139229 3 -94.18838 2
-0.2687863 3 -92.18437 2
-0.2015472 3 -90.18036 2
-0.1270337 3 -88.17635 2
-0.05616899 3 -86.17235 2
0.01873942 3 -84.16833 2
0.0861305 3 -82.16433 2
0.1039114 3 -80.16032 2
0.07821109 3 -78.15631 2
0.06603285 3 -76.15231 2
0.08525898 3 -74.1483 2
0.1190178 3 -72.14429 2
0.14601 3 -70.14028 2
0.1369745 3 -68.13628 2
0.07890747 3 -66.13226 2
-0.003386835 3 -64.12826 2
-0.07866631 3 -62.12425 2
-0.1459273 3 -60.12024 2
-0.2176481 3 -58.11623 2
-0.3051383 3 -56.11222 2
-0.4103297 3 -54.10822 2
-0.514767 3 -52.10421 2
-0.5980356 3 -50.1002 2
-0.64014 3 -48.09619 2
-0.6281521 3 -46.09219 2
-0.5895488 3 -44.08818 2
-0.56407 3 -42.08417 2
-0.5561545 3 -40.08016 2
-0.5521027 3 -38.07615 2
-0.5416791 3 -36.07214 2
-0.5194541 3 -34.06814 2
-0.4847266 3 -32.06413 2
-0.437117 3 -30.06012 2
-0.3573156 3 -28.05611 2
-0.2375369 3 -26.0521 2
-0.1233378 3 -24.0481 2
-0.03087739 3 -22.04409 2
0.08458114 3 -20.04008 2
0.2477355 3 -18.03607 2
0.436891 3 -16.03206 2
0.6262975 3 -14.02806 2
0.8112068 3 -12.02405 2
0.9946222 3 -10.02004 2
1.170001 3 -8.016032 2
1.340054 3 -6.012024 2
1.527743 3 -4.008016 2
1.726991 3 -2.004008 2
1.912599 3 0 2
2.099427 3 2.004008 2
2.316067 3 4.008016 2
2.548172 3 6.012024 2
2.751109 3 8.016032 2
2.883873 3 10.02004 2
2.952736 3 12.02405 2
3.016518 3 14.02806 2
3.118098 3 16.03206 2
3.247364 3 18.03607 2
3.369744 3 20.04008 2
3.4577 3 22.04409 2
3.510502 3 24.0481 2
3.556732 3 26.0521 2
3.608652 3 28.05611 2
3.646134 3 30.06012 2
3.666872 3 32.06413 2
3.688151 3 34.06814 2
3.720533 3 36.07214 2
3.776104 3 38.07615 2
3.867906 3 40.08016 2
4.014121 3 42.08417 2
4.223444 3 44.08818 2
4.471252 3 46.09219 2
4.720455 3 48.09619 2
4.955165 3 50.1002 2
5.163221 3 52.10421 2
5.321449 3 54.10822 2
5.420025 3 56.11222 2
5.45451 3 58.11623 2
5.395576 3 60.12024 2
5.210181 3 62.12425 2
4.905531 3 64.12826 2
4.527683 3 66.13226 2
4.143738 3 68.13628 2
3.808583 3 70.14028 2
3.527386 3 72.14429 2
3.282884 3 74.1483 2
3.089961 3 76.15231 2
2.982028 3 78.15631 2
